exporter_name,exporter_key,exporterLAT,exporterLONG,hazWasteDesc,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,totalQuantityinShipment,units_final,ReceivingFacilityEPAIDNumber,importer_name,latitude,longitude,
"DETONADORES ESTRELLA, SA DE CV",E25A6367,25.65162,-97.6367,"HAZARDOUS WASTE SOLID, NOS (SCRAP METAL FROM DETONATOR)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,358,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
"DETONADORES ESTRELLA, SA DE CV",E25A6367,25.65162,-97.6367,"HAZARDOUS WASTE SOLID, NOS (SCRAP METAL FROM DETONATOR)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,542,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
PAVLOS MEXICO SA DE CV,E25A5943,25.9678,-98.25943,FLAMMABLE LIQUID,UN1219,Isopropanol or  Isopropyl alcohol,II,1197.73,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
PERLOS DE MEXICO,E25A5943,25.9678,-98.25943,"FLAMMABLE LIQUID, NOS (THINNER)",UN1219,Isopropanol or  Isopropyl alcohol,II,733.86,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
PERLOS DE MEXICO,E25A5943,25.9678,-98.25943,"FLAMMABLE LIQUID, NOS (THINNER)",UN1219,Isopropanol or  Isopropyl alcohol,II,8268,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
MALTEX S.A. DE C.V.,E25A9603,25.66851,-97.79603,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (TOLUENE)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,910.359144,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
MALTEX S.A. DE C.V.,E25A9603,25.66851,-97.79603,TOLUENE,UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,1524.06912,kilograms,TXD069452340,US ECOLOGY TEXAS,27.7309493,-97.6520741,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,695,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,2853,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,2372,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,2231,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,2179,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,485,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,130,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,250,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,800,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,40,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
SKYWORKS SOLUTIONS DE MEXICO SA DE CV,E32A2754,32.6084851,-115.4482754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,4,kilograms,CAT000646117,CHEMICAL WASTE MANAGEMENT,35.9674644,-120.0172653,
KEY AUTOMOTIVE ACCESSORIES DE MEXICO SA DE CV,E25A2153,25.663857,-97.82153,"WASTE FLAMMABLE LIQUID, NOS (ACETONE, XYLENE)",UN1993,"Flammable liquids, n.o.s.",II,3682,kilograms,TXD055141378,CLEAN HARBORS INC,29.6941654,-95.0923502,
KEY AUTOMOTIVE ACCESSORIES DE MEXICO SA DE CV,E25A2153,25.663857,-97.82153,WASTE PAINT RELATED MATERIAL,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",II,1590,kilograms,TXD055141378,CLEAN HARBORS INC,29.6941654,-95.0923502,
KEY AUTOMOTIVE ACCESSORIES DE MEXICO SA DE CV,E25A2153,25.663857,-97.82153,WASTE PAINT,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",II,338,kilograms,TXD055141378,CLEAN HARBORS INC,29.6941654,-95.0923502,
KEY AUTOMOTIVE ACCESSORIES DE MEXICO SA DE CV,E25A2153,25.663857,-97.82153,WASTE PAINT RELATED MATERIAL,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",II,3074,kilograms,TXD055141378,CLEAN HARBORS INC,29.6941654,-95.0923502,
KEY AUTOMOTIVE ACCESSORIES DE MEXICO SA DE CV,E25A2153,25.663857,-97.82153,WASTE PAINT,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",II,1025,kilograms,TXD055141378,CLEAN HARBORS INC,29.6941654,-95.0923502,
